4.638167	7.552951	498270.979700	6444942.015499
26.730835	9.388425	625402.428900	6461220.127799
1.669686	18.249725	482202.858800	6510511.192999
2.863843	17.985802	489327.309300	6508346.265699
4.814122	18.917990	498591.230000	6514062.277299
26.961335	18.877457	622886.055500	6517884.923099
28.163125	17.103349	631774.944300	6512759.926099
26.385574	16.599911	624809.748100	6508303.645799
24.935345	18.905730	613222.848700	6518236.147099
24.758418	19.211156	612008.801900	6520472.247099
23.680800	19.483030	604157.954300	6524252.028899
23.772951	17.980680	605809.230700	6514842.820799
23.438428	19.024268	603270.705300	6517632.430299
22.233875	19.489977	596720.204700	6519298.161699
23.499932	17.561964	604708.917600	6511352.476099
24.247393	17.023317	610053.198600	6509203.078799
24.495376	16.919257	612441.263800	6508963.595599
23.041126	17.112491	600849.694900	6507523.048899
21.011115	18.356466	590587.613700	6514358.588199
20.199050	18.990454	585171.004900	6516941.053499
17.079225	19.380418	565793.882500	6520748.479899
19.729095	19.632903	583041.262600	6519696.976799
19.254296	18.668606	579418.085800	6514372.762799
21.493538	16.396487	594482.259600	6506963.148799
21.174228	15.629907	589611.973500	6503940.052699
22.489103	15.642661	598036.292500	6500998.881299
22.846638	15.372102	600508.922200	6500548.875899
23.278935	15.458150	603221.201700	6500152.659399
23.076986	16.133624	601745.932900	6503932.963199
23.524383	14.849524	602359.414800	6495964.555699
24.643859	15.116071	611676.138800	6499975.735599
24.048364	14.366933	607405.801000	6492490.479599
24.750456	15.761031	612560.592200	6503286.643099
26.247419	15.307669	620688.990100	6501429.025899
26.209052	15.775866	621319.229200	6504507.896999
24.981197	13.747832	613288.893000	6489743.053599
21.239208	13.888718	588656.187900	6493419.460299
21.496417	14.162066	588941.185800	6494752.098499
21.675241	13.531745	590941.144200	6491538.553199
20.938440	13.692018	586419.321200	6490569.297099
20.716707	14.054463	586114.377800	6492678.996199
20.122319	13.981164	584231.107600	6491831.780399
20.363570	13.587008	584175.857200	6488999.087199
20.695351	13.464149	585413.536800	6489128.816399
21.518536	13.164797	592174.802900	6488949.197299
20.719648	12.628936	588422.496300	6483866.073099
22.360727	12.099893	596264.737700	6482504.637199
23.144802	12.286519	599862.163000	6484107.705599
18.624819	19.759801	573059.445700	6518679.480899
15.979552	16.097586	559593.600800	6501861.707199
14.409227	15.921797	548528.088900	6499363.867299
13.799439	16.883930	545071.703400	6505496.948899
13.645099	16.386046	543936.245900	6504006.258999
13.875375	17.269681	547055.765300	6508822.917199
15.286670	19.654378	555186.342200	6523277.044799
11.818338	19.419596	534028.780300	6519883.714799
12.065698	18.979778	536022.275900	6518351.809899
10.447528	18.647901	527111.934200	6514998.067299
12.179378	16.582030	536006.222000	6503919.861299
10.996874	16.093039	532956.999200	6501146.179299
10.801033	16.690247	529895.648900	6505206.985899
10.651029	15.766182	530951.895400	6497792.903399
10.257141	16.040037	528261.297000	6499918.305699
9.208551	16.040555	518992.277900	6500445.563199
9.510066	16.046755	522361.079500	6498456.077699
10.466568	15.055376	528528.888000	6495218.252499
10.460967	15.528774	529284.203200	6496860.803799
9.276858	15.527945	518932.354600	6497220.933799
7.747038	15.262101	513203.084900	6492108.906199
12.666725	14.272924	540550.961700	6487264.035499
13.472451	13.320801	547249.486100	6482599.343699
8.653475	13.454823	519404.016600	6481760.752699
11.559669	11.693230	536009.201100	6471063.842399
12.923156	12.852467	544583.135600	6479159.304899
11.049015	11.719206	533162.351000	6470591.854299
11.588028	10.640262	536186.290400	6466953.550699
10.066310	12.132612	526943.105600	6473601.781999
8.803840	12.070858	520760.552200	6474073.753099
7.868666	10.887965	515001.181800	6466130.290899
6.291728	9.783704	507103.100500	6458639.622899
5.889408	10.114381	504124.028700	6461529.984499
5.159136	11.091176	498470.081100	6466520.923099
4.122756	10.985103	494278.960200	6464843.999599
3.823474	11.442695	492243.287700	6467270.850199
4.217970	14.168165	492203.934300	6486008.025699
2.067330	13.888887	482196.073100	6483449.002699
2.681545	13.150584	485027.018900	6476880.976699
2.778654	13.353127	485197.208800	6479563.274699
3.831109	14.382107	488887.918800	6486883.482599
5.992490	14.808685	502342.047100	6488793.954299
7.084342	13.195121	510864.383200	6479776.119399
7.061512	15.455180	508730.004800	6493362.692399
6.094722	16.288167	503653.004300	6495806.027699
6.457446	16.273367	505404.036500	6496990.705499
5.259782	16.401388	498220.997500	6497838.251499
4.841260	16.051038	496195.725100	6495288.331399
5.874020	16.503222	501997.964300	6497376.991699
7.541560	16.070438	511968.752500	6496997.491199
8.357632	16.580380	514114.015300	6501755.068899
10.078094	17.019607	525712.509000	6506139.713999
9.522033	17.519912	521353.656700	6507802.585099
9.888345	18.365196	523933.203100	6513684.189699
9.702692	19.348843	522823.994200	6518364.719199
8.178848	19.139173	514546.352200	6515527.438199
5.463596	17.677948	501617.305100	6507459.660799
5.181490	17.793110	500505.945700	6508063.915699
5.202539	18.340229	501165.782600	6511163.474999
4.851503	18.111742	499873.578700	6509722.768299
4.413829	18.150135	496600.713400	6509837.622199
3.943841	18.121980	494369.968100	6509548.818099
4.161305	18.922180	494818.203800	6514800.616599
3.900897	19.097617	493588.254800	6515564.922899
3.941107	19.313135	492803.058700	6516582.075499
3.663562	19.567101	490954.379100	6518650.213599
1.415735	19.437752	480522.709500	6516520.454099
3.034343	18.334752	490236.588200	6511139.311199
3.332753	17.404287	490653.482800	6505961.352299
3.240439	17.315910	490569.116700	6505685.343199
3.058742	17.028478	488728.526900	6504251.253799
2.713378	16.974622	486669.142900	6502992.053999
2.038011	16.580159	482069.131500	6499629.501199
1.725291	16.696408	480313.383000	6500377.024099
1.316461	16.750654	478668.402100	6499984.053499
1.212757	16.949432	477897.177800	6501302.770399
3.100328	15.458971	487301.179300	6491729.382799
2.552518	15.277877	483841.620600	6491227.497199
1.180218	16.201345	477224.495200	6497055.403399
1.020290	15.013593	476540.926400	6490231.751999
1.813255	15.234320	480327.863900	6492016.813899
2.069179	14.682699	482083.668000	6487976.350399
2.176516	14.555140	482492.137500	6487628.933499
11.332716	14.579611	534089.685700	6487954.187299
27.070725	9.379020	627856.306100	6463348.873599
27.204705	8.265767	630172.369000	6457544.648399
27.729505	7.889797	634837.926700	6456565.361299
27.005049	7.337513	629698.034500	6452091.788299
27.391915	7.068893	632446.033300	6450644.645299
27.868342	7.059380	636865.894500	6450961.176299
27.676237	6.959817	636147.725300	6450294.580399
28.017867	8.126836	635969.645800	6456333.756799
27.094205	6.712448	631172.379200	6448126.483599
27.120362	6.489313	631903.337800	6446853.991799
26.894736	5.605266	629860.390600	6441780.701199
26.806876	4.646654	630109.974000	6436873.861299
26.896208	4.987710	630224.668300	6438411.227899
27.028898	4.468068	631754.256200	6435578.461499
27.697312	3.973647	634261.693100	6431146.070499
27.160229	3.715305	630861.031100	6430643.959699
26.935907	3.998924	630329.763300	6431936.380499
26.444251	3.467044	623216.582100	6431516.826099
26.081947	2.324728	625788.112300	6421967.266499
25.465386	3.070204	620697.458900	6424709.426599
25.499584	3.770603	620576.073700	6429077.823099
27.011556	2.804041	631799.732700	6424438.212599
27.405598	2.683989	634497.811500	6425949.998599
27.369921	1.944960	635183.174100	6420090.393199
25.765142	1.216660	625657.803000	6414471.812399
25.329157	2.155749	622084.479200	6420214.346999
24.079185	2.020172	613842.751700	6419833.238799
23.563732	2.869584	610596.845700	6422920.107599
23.922774	3.013282	612930.405000	6423865.842899
24.417249	3.186526	615767.828800	6426833.393499
23.996482	4.121676	611323.780800	6431999.925399
24.051224	3.435967	613215.550300	6428109.996299
21.701920	3.961976	598482.325700	6429180.904499
24.334563	4.861302	613419.980000	6436637.278399
23.877237	4.988297	610681.824500	6436995.584299
24.858348	5.290249	616506.869500	6439511.663999
24.501356	6.182144	615618.467000	6445292.637299
24.731458	6.442907	615475.662400	6446641.328399
23.054241	6.367646	606096.999100	6446206.135099
22.387190	6.737839	600915.861000	6448686.014099
